Organization,Address,Reviewer,Review Title,Review,Location,Rating Date,Rating
Taal Vista Hotel,Tagaytay Luzon 4120,_ysalfafara,Amazing view,Our stay at Taal Vista was amazing. The destination was easy to locate and it was near Tagaytay's tourist's attractions. The crew was friendly  the food was great  and the rooms were absolutely fresh.More,2,4 weeks ago,50
Taal Vista Hotel,Tagaytay Luzon 4120,Cera_PH27,This is why we keep coming back to Taal Vista,Dear ysalfafara  Thank you for choosing Taal Vista Hotel and taking the time to share your experience during your recent stay. We are extremely delighted to hear that you enjoyed your stay. It warms our hearts to know that you enjoyed the rooms  food and...More,2,4 weeks ago,50
Taal Vista Hotel,Tagaytay Luzon 4120,Kaustab,Good location but need service improvements,Despite the rise of new hotels and places to stay in Tagaytay  I always look forward to going back to Taal Vista hotel. Through the years  I'm amazed with how they constantly provide remarkable service (cherry on top of a great stay w/ amazing food.)...More,2,5 weeks ago,50
Taal Vista Hotel,Tagaytay Luzon 4120,twistedfoodlover,Great Halo Halo Ever,Dear Cera_PH27  Thank you so much for this sweet and thoughtful review. We are extremely delighted that you enjoyed your stay. Thank you for appreciating the little touches that Dennise and the rest of the team have prepared. This really inspired us to work harder...More,2,July 7  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,potpotshay,Our stay in Taal Vista Hotel,Great location  especially the lake wing. The room (premiere lake view) is excellent overlooking the Taal volcano and the lake. Quite spacious and well laid out. Buffet breakfast is okay but weekends are packed ! They definitely need improvements in checkin and checkout processes.. stood...More,2,July 4  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Michael P,I will return :-),For the uninitiated  this place is all about the view  it might not be as cold as Baguio but the view makes up for it. It's important to get a room with the balcony facing the Taal volcano unless you are tight on budget then...More,2,July 4  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Althea R,Very dissappointed,Dear Mr. Michael P  Thank you very much for your review and your recent stay at Taal Vista Hotel Your feedback is extremely valuable to us and your feedback about our view and service are very much appreciated. We have taken note of your comment...More,2,July 1  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,millinmareney,day out trip,I know and understand the the view outside the hotel grounds were outstanding  however  it is not an excuse to give me this. Picture speaks for itself i need not say more. For a price of P7 000 per night 'cmon! Either you put down the...More,2,June 24  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Alfredo P,Best hotel to stay in Tagaytay,Dear Ms. Althea  Thank you very much for sharing your recent experience at Taal Vista Hotel. Your feedback is extremely valuable to us  as we strive to constantly improve the quality of our services. I would like to personally apologize for the series of unfortunate...More,2,June 23  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,michaelz930,Stay with family for father's day celebration,me and my family just pop in there just have a look  and when we came inside we all welcome but i was surprise how so pretty inside the entrance was so elegance and the backyard you can see the beautifull view of taal volcano...More,2,June 21  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,ENZANNE,Weekend getaway,We have breakfast at Veranda and it was a sumptous meal offering mostly farm produced in the area. The relaxing ambience - the colors  lights  are so cool and inviting- with hospitable staffs - all of them - it is such a GOOD start of...More,2,June 19  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,GerrySingson,Sub-par Cuisine for a Fine Dining,Dear ENZANNE  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our hotel is very much appreciated. Once again  thank you and we look forward to welcoming you back...More,2,June 17  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Arce V,Rooms are great  breakfast underwhelms,A 5-Star Hotel of quite expensive rate but serves food not commensurate with that you had to pay. Being an epicurean  I was expecting to have a grandiouse time with my pallate but instead I ended up cursing... The brewed coffee was luckluster and I...More,2,June 11  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,raoflatiff,Great hotel with great views!,Dear GerrySingson  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us  as we strive to constantly improve the quality of our services. I would like to personally apologize for the series of unfortunate...More,2,June 5  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Reina S,Worst service for a complimentary stay,Its been a couple of years since our last stay at taal vista  and there is a lot that is still really great here. The rooms  the view of taal  service are still some of the best in tagaytay but... breakfast still and always has...More,2,June 5  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Dan B,Lost it's shine,I've stayed a few times at this hotel in the past  and it was always nice  but the service and standards have dropped significantly. I stayed when hotel was only at 60% capacity  asked for a 'room with a view please'  and was given a...More,2,June 4  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,jangclowd,Cozy hotel in a quiet spot in Tagaytay,Dear Dan B  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us  as we strive to constantly improve the quality of our services. I would like to personally apologize for the series of...More,2,May 27  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,dennissunio,Taal Vista Hotel  the place to be in Tagaytay,Upon entering the lobby of the hotel it was extravagant and with a great view of the Taal volcano. The rooms well all spacious  we we're given a Mountain Wing room on the top most floor which I actually requested and their was a nice...More,2,May 23  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Busdik,Hotel with a View,Dear jangclowd  Thank you for choosing Taal Vista Hotel and for taking the time to share your experience during your recent stay. We are happy to note that you had a pleasant stay. Likewise  we have also taken note of your comments regarding our rooms...More,2,May 22  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Helenies,Great view and spacious room!,Taal Vista Hotel in Tagaytay is a 3-4 star hotel with a great history. It's scenic view of Taal Volcano and Taal Lake  is breathtaking  thus  it probably has the most number of guests among the hotels in the area for the past several years...More,2,May 17  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Anthony R,Good location but overcrowded and dated facilities,We visited the Taal Vista Hotel over Christmas and while the view was spectacular  the hotel and grounds were overrun with in-house and external guests. There were long queues for reception and breakfast which made the stay less than enjoyable. The rooms were also rather...More,2,May 17  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,docmaan,Panoramic View of Taal Lake & Volcano,Dear Mr. Anthony  Thank you very much for sharing your recent experience at Taal Vista Hotel. Your feedback is extremely valuable to us  as we strive to constantly improve the quality of our services. I would like to personally apologize for the series of unfortunate...More,2,May 15  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Sourav_Banner,Amazing views,We spent Mother's Day 2017 weekend here. Panoramic view of Taal Lake & Volcano from the viewing deck. The rooms are spacious and efficient service from hotel staff. My daughter enjoyed the great pool although I suggest it should be heated due to the cold...More,2,May 14  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Tom M,Wedding bells and whistles,Dear docmaan  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our service and staff are very much appreciated. Once again  thank you and we look forward to welcoming...More,2,May 8  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Cheri V,Awesome view  food and coffee is bleh,Go there for the great views of Taal lake/ volcano island from the viewing deck and the lake view rooms . Stayed there for a night and would recommend for people looking for a relaxing weekend in Tagaytay with great views of the lake. They...More,2,May 7  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,alainski,Taal Vista Experience,Me and my family stayed in Taal Vista Hotel over the weekend to celebrate my parent's 29th Wedding anniversary. We are truly grateful for the warm welcome provide to us by the Guest Services Manager  Alisa! She exceeded my expectation with the brilliant customer service....More,2,May 7  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,PasyadoraKakat,Good Choice for Weekend Getaway But. . . . .,Dear alainski  Thank you for your kind note following your recent stay at Taal Vista and your observations about Alisa and Kevina. Theyre indeed a huge asset to Taal Vista and was recently promoted because of his amazing attitude and guest contact skills. I myself...More,2,May 2  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,KundolandKitty,Enjoyable weekend,We stayed in the Premiere Twin (Mountain View) during Labor Day weekend. Rooms: We booked Superior Twin (Mountain View). If you want a view  then choose the Lake Side rooms; not much to see from the mountain view rooms. The upside though is that the...More,2,April 28  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Faye B,Lovely hotel with great view of the Taal Lake. On the main road   so very convenient.,Dear kate t  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us  as we strive to constantly improve the quality of our services. I would like to personally apologize for the series of...More,2,April 25  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Cris A,Still the best view in Tagaytay!,The staff were indeed friendly from the doormen  roomboys  FO staff as well as F&B. All have have been very accommodating and friendl. Room where we stayed at was very spacious and we enjoyed the Pandicocos  something we haven't eaten for a long time. The...More,2,April 23  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,bobbychevs,Taal Vista *tongue pops* :D,It was my first time to stay in Taal Vista and I'm definitely going back! The trip wasn't really planned so I was worried that we won't be able to get a room that weekend. But my friend assured me that it's almost impossible for...More,2,April 20  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,WorkingmuminEngland,No need to go further - everything is within reach,Dear Bobby king r  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding the view from our hotel is very much appreciated. Once again  thank you and we look...More,2,April 19  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,jtj_888,Disappointing!!!!! 5 star?????,We were told that its not safe to go to Tagaytay because of the recent earthquake events. Anyway  we didn't cancel our booking in the hotel. Taal Vista has a good reputation for its Filipino hospitality and its location. It's been ten years since our...More,2,April 16  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,oferkaspi,big rooms with amazing view,Dear WorkingmuminEngland  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback about our cheerful staffs are very much appreciated. We have taken note of your comment about the improvements needed...More,2,April 13  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,MafArt83,Location.Location....,Bed Underpad stained with yellow thing  its like someone peed on it and other parts like someone stepped on it with dirty shoes . It only means that they didnt change the beddings!!! Complimentary fruits   with MOLDS!!!! Amazing huh!! You came here to relax...More,2,April 13  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,aureen,Staycation with Fambam!,Booked 2 Bedroom Deluxe Suite for 6 adults and 4 small kids! It was a peak season that time  we were given one Room at first and waited for the other one. My nephews are all getting fussy  we cannot go outside as it was...More,2,April 12  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,jaded1975,Nice hotel but needs a lot of improvement,Dear aureen  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us  as we strive to constantly improve the quality of our services. I would like to personally apologize for the series of unfortunate...More,2,April 11  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Mohini P,Always a good stay,The hotel itself is very nice however there's quite a few hit and miss with the service not sure if it is because it was a peak season when we were there. Here are some of our experience in the hotel. 1. Check-in service was...More,2,April 10  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,charmingme2010,Cool breeze and spacious room!,Dear jaded1975  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us  as we strive to constantly improve the quality of our services. I would like to personally apologize for the series of unfortunate...More,2,April 10  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,PrincessMolleno,Don't expect much,This is my second stay in Taal Vista and my fiance's first time. We liked our stay. We liked the king size bed  we liked the clean and spacious toilet  we loved the overall experience. Areas for improvement though is the breakfast buffet. There are...More,2,April 10  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,loumandalupe,Rotary Club 3780 District Convention,The hotel was quite nice. The food was great. The service given by the staff were excellent. It was a very memorable event for me and i look forward to staying here again. I did not get to try out the pool and other amenities...More,2,April 9  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Damon C,Nice relaxing trip to beautiful Taal Vista Hotel at Tagaytay,Dear loumandalupe  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent service and facilities is very much appreciated. Once again  thank you and we look forward to...More,2,April 6  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Cess C,Out dated rooms,Excellent hotel and staff. Filipinos are pleasant people and the staff here are very nice. The food is excellent  good free buffet breakfast with a large variety  omelets/eggs cooked to order  fresh fruit and pastries. The is a small carnival rides next door  casino across...More,2,April 4  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,k f,There for a conference. Did not stay at the hotel,Dear Damon C  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent service and facilities is very much appreciated. Once again  thank you and we look forward...More,2,April 2  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Kristin C,Our Go-To Tagaytay Hotel,I was really disapointed in our room its outdated it doesnt feel like were staying in a 5 star hotel. We dont have any view even the elevator is kinda creepy. Breakfast is mediocre. The only goodside is the amzong view of taal volcanoMore,2,April 2  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,livingwithenough,Tired Rooms but Amazing View,We stayed in this hotel the day after our wedding together with my in-laws  extended family and friends. We stayed in rooms with the mountain view. Rooms are functional but a little bit tired. It is also quite a walk from the reception and restaurants...More,2,April 1  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,angelfire201701,Great customer service,Dear livingwithenough  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent service and facilities is very much appreciated. Once again  thank you and we look forward to...More,2,April 1  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,ClemAguila,Excellent Customer Service,Great customer service.The food is delicious. The hotel amenities are just fine but everything is compensated by the relaxing ambience and helpful  friendly staff. Whenever you pass by them at the hallways  they never fail to greet you good morning with a smile on their...More,2,March 29  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Filcan101,hotel and Taal view - 2 very different perspectives,Dear angelfire201701  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent service and facilities is very much appreciated. Once again  thank you and we look forward to...More,2,March 29  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,TwoMonkeysTravel,The best view of Taal Lake,The hotel presents elegance and cleanliness. I enjoyed the food  nice music at night ... even on a regular weekday and definitely appreciate the friendly staff and their professionalism. I'm so grateful that the a/c was perfectly working as the weather gets hot in the...More,2,March 26  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,eddyMONTANA,Not good money for value .,We tried once and we won't try again ... Htel was fully booked... so we haven't enjoyed much and staff was kinda rude at the reception ... probably because of the activity but still ... the room was ok ..More,2,March 26  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,miss_asia10,Taal Vista Tagaytay,Dear eddyMONTANA  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us  as we strive to constantly improve the quality of our services. I would like to personally apologize for the series of unfortunate...More,2,March 26  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Dino B,All Facade,Sitting in front of the Taal Lake  this hotel offers the most picturesque view of the Taal Volcano and is perfect for some good selfie shots. The rooms are basic and the breakfast is so-so considering the price.More,2,March 26  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Sue_in_UK,great view from the hotel,Dear miss_asia10  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent service and facilities is very much appreciated. Once again  thank you and we look forward to...More,2,March 23  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Annetdo05,Nice and Great Service!,Well manicured landscape and courteous staff doesnt compensate for 1) the inconvenient layout that requires guests from Lake View to walk to the other side of your hotel just to have breakfast 2) underpowered AC (esp this time of the year) and misleading price advertisment....More,2,March 23  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Steph F,Nice Stay,We often stay hotels and get to compare the services and specialty of each. For Taal Vista  I may say  our stay was quite comfortable and satisfactory. First was upon my booking 3 days before Mar 17  I specifically noted that I was hoping to...More,2,March 20  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Giordano N,Jayrome at the Lobby Lounge!,Dear Steph F  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us  as we strive to constantly improve the quality of our services. I would like to personally apologize for the series of...More,2,March 19  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,John S,Top notch!!,Room was lovely! The best view of Taal! I will definitely be back :-) Food at Breakfast at Veranda was great also. The only downside was Beth at the Lobby Lounge. She was lazy and rude! Doesn't even smiled. Please take her out of there!!!...More,2,March 19  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Lailani P,Cool Break from the Hot Metro,Dear Giordano N Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us  as we strive to constantly improve the quality of our services. I would like to personally apologize for the series of...More,2,March 14  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Virginia S,Staycation,A regular customer all the way from Chicago. Could be one of the finest hotel stays in all of The Phillipines! Not sure. Have yet to visit all of them. From check-in  bell- men  plentiful and cordial staff  room accommodation  b-fast  maintenance calls  wi-fi  swimming...More,2,March 11  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Elbert O,Still a great experience!,We decided to return here  one of our go-to's for vacations in Tagaytay  for our baby's first trip out of town. Well worth it  as the wide expanse of the property gave our boy much room to explore and practice his walking  the room was...More,2,March 11  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Cabaldeviso,Refreshing stay...,Dear Elbert O  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent service and facilities is very much appreciated. Once again  thank you and we look forward...More,2,March 11  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,annalay,Lunch at the lobby lounge,Recently stayed at Taal Vista Hotel. We stayed at the Mountain View wing. Rooms are clean  equipped with a mini ref  electric kettle  steam iron and a hair dryer...Very convenient. One weird thing about the room is the bathroom door that locks from the outside....More,2,March 10  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Cowina P,Disappointing,Dear Cabaldeviso  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent service and facilities is very much appreciated. Once again  thank you and we look forward to...More,2,March 3  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,leydelossantos,Disappointing stay. Rooms need to be renovated badly.,We had a little mishap with our meal but the dining person in-charge immediately addressed our concern. Very good service and we are very satisfied with it and of course they have one of the nicest view :)More,2,March 2  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Fiore M,Grew old and sad,The mountain wing rooms are old  the beds are sagging and the bathrooms sad. The TV is so small and overall the room gives you that feeling that you stepped into a forgotten room in what used to be a grand mansion. Definitely needs an...More,2,February 28  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,sexy888,Not Safe! Be Warned.,Dear Fiore M  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us  as we strive to constantly improve the quality of our services. I would like to personally apologize for the series of...More,2,February 25  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Joseph R,Poor Customer Service,Feb 25 at lake wing side. First floor. while my kids are playing games in their phones  I was still sleeping around 10:30. The room was suddenly opened ! USING THeIR HOTEL ROOM KEY --the hotel staff stop short of coming inside when he reliazed...More,2,February 23  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,tecconcepcion2002,Very superior,Dear sexy888  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us  as we strive to constantly improve the quality of our services. I would like to personally apologize for the series of unfortunate...More,2,February 22  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,jingromero,Near Skyranch,Checked in for a company seminar. Rooms: 3/5. Barely working hot shower. Amenities: 2/5 Swimming pool closes at 7pm. Wasn't able to try the gym though. Food: 3/5. Pricey for its quality. Breakfast buffet was a disappointment. Bacon was as hard as a rock and...More,2,February 19  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,janame11,Great hotel,Taal vista hotel is really nice i love everything in this hotel the lobby  food and the restaurant is so fantastic while me and my bf and his friend in restaurant they played a great song romantic  and when we are drinking in the...More,2,February 18  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Jeremy A,Nice place to see the rear view of taal volcano,Dear janame11  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent service is very much appreciated. Once again  thank you and we look forward to welcoming you...More,2,February 15  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Jean-Luc B,Perfect hotel,after eating lunch in RSM restaurant tagaytay  we just go to Taal Vista Hotel to experience the nice view of the vicinity and to take pictures with Taal Volcano at the background. there are lots of places to go to but the one thing that...More,2,February 15  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,icycles23,Our travel destination wedding in Taal Vista Hotel.,Dear Jeremy A  Thank you very much for your review and recent visit at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent facilities is very much appreciated. Once again  thank you and we look forward to welcoming...More,2,February 15  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,mariaromelynm,Disappointing,Only positives! Incredible views of the lake  perfect spacious rooms  great staff  good food at the restaurant. Would love to have stayed longer. Get the lake view rooms  it's worth the extra. Very western and modern hotel.More,2,February 14  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,ronoliverclarin,Good Place to do Events,I am visiting multiple times last November and December 2016 for government and private company events. I find it nice but not accessible for commuters like me. Maybe  They can have shuttle bus for guests from gasoline station.More,2,February 14  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,LoveLorraine,Rise Up,Dear Mr. Ron  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent services and facilities is very much appreciated. Once again  thank you and we look forward...More,2,February 12  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Arbel009,Terrible hotel,I had the best experience at Taal Vista during my stay. The majestic view of the famous Taal Lake amazed me encompassing from the main entrance of the hotel. Foods are yummy tasting with fresh produce from the farms. Bed and showers are right for...More,2,February 12  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,960yuvala,Don't throw your money here,Dear goddess77710  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent service and facilities is very much appreciated. Once again  thank you and we look forward to...More,2,February 10  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,MarjFelix,Disappointing  looks like a 2-3 star hotel ...,I thought because it's expensive hotel I will get facilities No hot water No air conditioner Mini bar bar looked Don't go it's not worth the money The room is o.k But we ordered 2 beds for 3 people of course paid more Waited for...More,2,February 7  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,umniaka,Relaxing stay,We stayed in Taal Vista for two nights and enjoyed our stay. The room was big and the view over the volcano was stunning. We spent a few hours sitting on our balcony with a bottle of wine watching the sunset. The breakfast was ok...More,2,February 4  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Fattire92663,relaxing and comfortable,Dear umniaka  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent service and facilities is very much appreciated. Once again  thank you and we look forward to...More,2,February 1  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,2torontotraveller,Poorly Organized Buffet Lunch,My mom and I shared a room on the lake view side for one week. The room was clean and comfortable with magnificent views. The staff were very friendly. The receptionist  Shennan  was very helpful and knowledgable. My mom and I enjoyed the breakfast buffet...More,2,January 29  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Dianne G,Nice  spacious rooms but pillows are uncomfortable and the shower isn't working properly,Dear Fattire92663  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent service and facilities is very much appreciated. Once again  thank you and we look forward to...More,2,January 29  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Mykhaele t,Nice view ,We went to Tagaytay as part of a shore excursion from Manila. The final destination was the Taal Vista Hotel which has a spectacular view of Taal Volcano and Taal Lake. The drive from Manila to Tagaytay had lots of slums for most of the...More,2,January 24  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Arlene W,Christmas in Tagaytay,We were fortunate to be able to spend our Christmas here  and we enjoyed it immensely. Service was great and all staff are very friendly and accommodating. For some reason  we found ourselves in a Lake View room instead of a Mountain View room and...More,2,January 23  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,cry70,Typical Buffet with great views and show,Dear Ms. Arlene  Thank you very much for your review and recent stay at Taal Vista Hotel. Your feedback is extremely valuable to us and your feedback regarding our excellent service and facilities is very much appreciated. Once again  thank you and we look forward...More,2,January 23  2017,50
Taal Vista Hotel,Tagaytay Luzon 4120,Christine M,Newly renovated Veranda but poor service,Typical buffet food with lechon  the beauty is the view  overlooking the volcano and lakes. we went on Sunday where there were local shows and dance typical Philippines  great experience. Food was also goodMore,2,January 22  2017,50
